measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Iceland,Male,30 to 34,Road injuries,Number,2010,0.6326245600083491,0.827896859903633,0.46758286939692484
Deaths,Iceland,Female,30 to 34,Road injuries,Number,2010,0.20456800917132914,0.26058003743055147,0.156113184354742
Deaths,Iceland,Male,35 to 39,Road injuries,Number,2010,0.4180535969144083,0.5553268039175281,0.29317575334952406
Deaths,Iceland,Female,35 to 39,Road injuries,Number,2010,0.18109531940378823,0.23466195881092383,0.13752133738779038
Deaths,Iceland,Male,40 to 44,Road injuries,Number,2010,0.4820999050823763,0.627596415219475,0.35211597339999257
Deaths,Iceland,Female,40 to 44,Road injuries,Number,2010,0.18290932482424171,0.23891281936016615,0.13821976947773418
Deaths,Iceland,Male,45 to 49,Road injuries,Number,2010,0.46090458941035733,0.6228670995142211,0.33469132700280674
Deaths,Iceland,Female,45 to 49,Road injuries,Number,2010,0.21205443411671443,0.27281843523683147,0.16185909329446233
Deaths,Iceland,Male,50 to 54,Road injuries,Number,2010,0.42362153963898885,0.5624649506378399,0.30445235330433135
Deaths,Iceland,Female,50 to 54,Road injuries,Number,2010,0.21929253539318547,0.2786560403047057,0.17192427842723718
Deaths,Iceland,Male,55 to 59,Road injuries,Number,2010,0.37543071584324983,0.5042942989879046,0.27470794649375246
Deaths,Iceland,Female,55 to 59,Road injuries,Number,2010,0.21366028593614528,0.27987568414920594,0.16265428770352117
Deaths,Iceland,Male,60 to 64,Road injuries,Number,2010,0.34932920302671006,0.45868054928807045,0.2586157208508106
Deaths,Iceland,Female,60 to 64,Road injuries,Number,2010,0.20045350058099953,0.2550556855897713,0.15450239546047673
Deaths,Iceland,Male,65 to 69,Road injuries,Number,2010,0.2978333623044696,0.37944243099187197,0.22043442153936327
Deaths,Iceland,Female,65 to 69,Road injuries,Number,2010,0.2055130281195972,0.262236620786026,0.1561815444709704
Deaths,Iceland,Male,70 to 74,Road injuries,Number,2010,0.35909755604228144,0.4610449544673363,0.2705897774842945
Deaths,Iceland,Female,70 to 74,Road injuries,Number,2010,0.2071238266447967,0.26771118266870547,0.15698561694267785
Deaths,Iceland,Male,75 to 79,Road injuries,Number,2010,0.45626963274100346,0.5917728409636613,0.33285353022388986
Deaths,Iceland,Female,75 to 79,Road injuries,Number,2010,0.28490272509072084,0.36997459193354876,0.21427383687478546
Deaths,Iceland,Male,80 plus,Road injuries,Number,2010,0.8886972380807584,1.0827952128499698,0.7143261719599736
Deaths,Iceland,Female,80 plus,Road injuries,Number,2010,0.5899520379765927,0.7143169428802277,0.45515247070492987
Deaths,Iceland,Male,All Ages,Road injuries,Number,2010,8.800281900467297,9.689613680486158,8.062387471978308
Deaths,Iceland,Female,All Ages,Road injuries,Number,2010,4.062104387603209,4.434546923347892,3.71971039426171
Deaths,Czechia,Male,20 to 24,Road injuries,Number,2012,64.15317565477385,71.89793094613457,56.967964784868336
Deaths,Czechia,Female,20 to 24,Road injuries,Number,2012,17.463633858800502,20.080203474644964,14.951206554924797
Deaths,Czechia,Male,25 to 29,Road injuries,Number,2012,51.98578678265958,58.314200691102656,45.84441258434853
Deaths,Czechia,Female,25 to 29,Road injuries,Number,2012,11.640601701243519,13.727079847256107,9.52634379101866
Deaths,Czechia,Male,30 to 34,Road injuries,Number,2012,53.61025062813896,61.10066856514981,46.53930263198368
Deaths,Czechia,Female,30 to 34,Road injuries,Number,2012,11.05533189964383,13.237333924069548,8.970389763130227
Deaths,Czechia,Male,35 to 39,Road injuries,Number,2012,58.28517858961334,66.56527216326948,49.74255685717847
Deaths,Czechia,Female,35 to 39,Road injuries,Number,2012,12.32131800432139,15.025362858763813,10.138554708255901
Deaths,Czechia,Male,40 to 44,Road injuries,Number,2012,46.08064651744725,53.146811870865854,39.483289417209576
Deaths,Czechia,Female,40 to 44,Road injuries,Number,2012,12.046269312380245,14.34259546575005,9.883215828928392
Deaths,Czechia,Male,45 to 49,Road injuries,Number,2012,46.991881676673884,54.87630377419593,39.60945212706542
Deaths,Czechia,Female,45 to 49,Road injuries,Number,2012,13.39247823016442,16.12513955444781,10.741940751264565
Deaths,Czechia,Male,50 to 54,Road injuries,Number,2012,42.123425340995716,48.25625366599853,36.45913078757857
Deaths,Czechia,Female,50 to 54,Road injuries,Number,2012,12.804538379355867,15.553623469085473,10.472031865244706
Deaths,Czechia,Male,55 to 59,Road injuries,Number,2012,46.070781605114234,53.470017416735004,39.27986507088165
Deaths,Czechia,Female,55 to 59,Road injuries,Number,2012,14.759590706286112,17.981075110020704,11.979540143259324
Deaths,Czechia,Male,60 to 64,Road injuries,Number,2012,43.603603568697025,50.40400761639249,37.15578916943174
Deaths,Czechia,Female,60 to 64,Road injuries,Number,2012,15.60015530005682,18.90673148282905,12.869728948408001
Deaths,Czechia,Male,65 to 69,Road injuries,Number,2012,38.027025615751676,44.689300567676455,32.06412137862614
Deaths,Czechia,Female,65 to 69,Road injuries,Number,2012,18.453221064268817,22.376601797549643,14.915717798482055
